(spell names below),unlockable,level,water_level,oil_level,is_ice,is_flaming,is_steaming,is_charged,damage,move_spd,cooldown,mana,memory,uses,duration,title,desc,spr,scr,attack_spr
heal,TRUE,2,0,0,FALSE,FALSE,FALSE,FALSE,2,-1,5,2,2,-1,-1,Heal,"Restore life to yourself, but drain max mana.",spr_spell_slot_heal,scr_spell_heal,-1
jump,TRUE,2,0,0,FALSE,FALSE,FALSE,FALSE,-1,-1,2,2,2,1,5,Jump,Enhance your dexterity with a double jump.,spr_spell_slot_jump,scr_spell_jump,-1
jolt,TRUE,1,0,0,FALSE,FALSE,FALSE,TRUE,5,6,1,0,1,-1,2,Jolt,Launch a jolt of electricity.,spr_spell_slot_jolt,scr_spell_jolt,spr_spell_jolt
firebolt,TRUE,1,0,0,FALSE,TRUE,FALSE,FALSE,5,6,1,0,1,-1,2,Firebolt,Launch a small ball of flames.,spr_spell_slot_firebolt,scr_spell_firebolt,spr_spell_firebolt
icicle,TRUE,1,1,0,TRUE,FALSE,FALSE,FALSE,5,6,1,0,1,-1,2,Icicle,Launch a freezing icicle.,spr_spell_slot_icicle,scr_spell_icicle,spr_spell_icicle
wall of fire,FALSE,3,0,0,FALSE,TRUE,FALSE,FALSE,2,-1,1,3,3,-1,10,Wall of Fire,Create a wall of fire.,spr_spell_slot_wall_of_fire,scr_spell_wall_of_fire,spr_spell_wall_of_fire
wall of ice,FALSE,3,3,0,FALSE,FALSE,FALSE,FALSE,-1,-1,1,3,3,-1,10,Wall of Ice,Create a wall of ice.,spr_spell_slot_wall_of_ice,scr_spell_wall_of_ice,spr_spell_wall_of_ice
fireball,TRUE,2,0,0,FALSE,TRUE,FALSE,FALSE,5,6,1,2,3,-1,10,Fireball,Launch a fireball that detonates on impact.,spr_spell_slot_fireball,scr_spell_fireball,spr_spell_fireball
water splash,TRUE,1,1,0,FALSE,FALSE,FALSE,FALSE,5,6,1,0,1,-1,10,Water Splash,Launch a splash of water.,spr_spell_slot_water_splash,scr_spell_water_splash,spr_spell_water_splash
oil splash,TRUE,1,0,1,FALSE,FALSE,FALSE,FALSE,5,6,1,0,1,-1,10,Oil Splash,Launch a splash of oil.,spr_spell_slot_oil_splash,scr_spell_oil_splash,spr_spell_oil_splash
lightning bolt,TRUE,3,0,0,FALSE,FALSE,FALSE,TRUE,10,-1,1,3,3,-1,0.15,Lightning Bolt,Generate and release a powerful charge of electricity in a line.,spr_spell_slot_lightning_bolt,scr_spell_lightning_bolt,spr_spell_lightning_bolt
